title,cntc_instt_nm,period,top_tags,genres
로드 무비: 1945년 이후 한·일 미술,국립현대미술관,2026-05-14 ~ 2026-09-27,"교류, 로드, 무비, 예술가, 대칭","시대/성격 장르, 기획 목적 장르"
오~감각미술관,국립현대미술관,2026-04-30 ~ 2027-02-21,"더욱, 감각, 있다, 만날, 세계","경험 장르, 매체 장르"
방혜자 - 천지에 마음의 빛 뿌리며 간다,국립현대미술관,2026-04-24 ~ 2026-09-27,"혜자, 프랑스, 원천, 기별, 양분","시대/성격 장르, 매체 장르"
MMCA 과천 상설전 ?한국근현대미술 II?,국립현대미술관,2026-04-22 ~ 2027-06-27,"미술, 한국, 흐름, 미술사, 여성","시대/성격 장르, 기획 목적 장르"
MMCA 과천 상설전 ?한국근현대미술 I?,국립현대미술관,2026-04-22 ~ 2027-06-27,"조선, 시기, 미술, 설전, 과천","시대/성격 장르, 매체 장르"
그래도 해보던 날들,국립현대미술관,2026-04-17 ~ 2026-08-30,"교육, 시도, 창작, 자기효능감, 상시",경험 장르
데이미언 허스트와 YBA,국립현대미술관,2026-04-01 ~ 2026-06-06,"작업, 허스트, 동시, 미술, 다큐멘터리","시대/성격 장르, 매체 장르"
MMCA 다원예술 2026: 탐정의 시간,국립현대미술관,2026-04-01 ~ 2026-12-06,"탐정, 시간, 관찰, 미행, 이다","매체 장르, 시대/성격 장르"
데이미언 허스트,국립현대미술관,2026-03-20 ~ 2026-06-28,"연작, 믿음, 자연사, 신의, 의학","매체 장르, 기획 목적 장르"
MMCA 해외 명작: 수련과 샹들리에,국립현대미술관,2025-10-02 ~ 2027-01-03,"샹들리, 수련, 호기심, 수집, 세기","시대/성격 장르, 기획 목적 장르"
미술은행 20주년 특별전 ?돌아온 미래: 형태와 생각의 발현?,국립현대미술관,2025-08-08 ~ 2026-07-31,"은행, 미술, 미래, 형태, 대여","시대/성격 장르, 경험 장르"
특별수장고: 국립현대미술관 드로잉·일본 현대 판화 소장품,국립현대미술관,2025-07-22 ~ 2026-12-31,"판화, 드로잉, 특별, 일본, 장고","매체 장르, 시대/성격 장르"
MMCA 서울 상설전 ?한국현대미술 하이라이트?,국립현대미술관,2025-05-01 ~ 2026-05-31,"미술, 한국, 년대, 박물관, 김환기","시대/성격 장르, 기획 목적 장르"
개방 수장고 개편,국립현대미술관,2020-12-03 ~ 2026-12-31,"공간, 수장, 장고, 개방, 조각","매체 장르, 시대/성격 장르"
